Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
31025 Vespasiano/Lagoa Santa,"487,55","488,36","515,01","492,58","494,99","500,3","513,61","526,45","521,8","539,04","541,1","515,52","515,44","526,26","524,88","512,60","502,89","504,41","529,15","500,12","514,31","493,08","463,74","467,83","487,95","461,64","478,58","511,03","478,85","461,94","485,73","476,7","463,23","460,41","445,38","477,17","481,75","476,62","480,84","475,55","484,24","496,58","456,88","469,83","478,42","531,66","581,74","561,81","567,54","581,88","519,02","518,43","531,14","562,57","511,48","526,03","540,93","528,6","526,34","525,9","544,56","524,03","502,21","522,63","498,94","538,78","538,43","529,55","496,03","525,12","484,31","533,01","496,07","524,18","501,92","494,92","518,47","518,42","526,22","489,77","494,99","501,3","490,73","490,61","453,69","504,28","484,14","512,09","509,51","525,8","524,15","526,65","518,24","493,95","493,83","468,06","496,64","486,05","470,11","468,65","497,5","528,45","554,99","472,15","484,8","475,79","491,09","534,54","477,67",475,"461,41","468,42","519,06","582,09","569,15","491,67","494,9","450,73","461,08","484,54","496,01","488,36","511,96","497,58","457,14","485,66","538,09","585,05","553,14","582,11","578,93","614,05","681,21","651,59","728,86","859,68","1.257,62","2.253,57","1.469,89","1.247,85","932,32","674,36","557,54","498,68","567,23","724,07","658,03","690,44","703,1","741,31","759,84","805,73","705,84","927,57","840,24","889,97","824,22","772,49","838,85","927,59","768,33","841,95","865,24","787,12","716,75","1.067,82","838,79","912,1","758,23","823,44","773,15","949,06","1.048,49","1.010,71","1.011,56","1.007,97","994,65","1.118,54","1.079,01","909,69","798,37","876,56","768,08","1.037,07","999,51","1.038,61","1.126,41","1.018,31","1.097,15","1.126,25","1.271,21","1.602,88","645,12"
31026 Diamantina/Itamarandiba,"767,15","695,27","626,44","764,85","742,62","757,25","677,80","700,57","694,81","710,83","669,62","687,06","688,84","734,82","755,13","752,90","743,21","706,26","829,71","768,11","758,8","864,11","811,66","814,11","869,85","768,04","769,74","805,23","744,13","902,37","1.001,58","908,07","856,55","926,28","946,59","780,89","836,51","768,94","892,29","865,17","1.022,64","1.026,26","1.010,11","1.017,13","929,69","1.096,76","1.151,01","1.098,78","919,67","1.009,74","987,02","1.107,58","910,86","946,26","915,58","879,02","940,22","979,75","1.131,45","907,91","1.002,55","1.069,19","1.121,09","1.150,23","1.148,48","1.134,87","1.162,18","1.181,98","1.116,65","1.053,91","1.161,38","1.204,86","1.108,16","1.201,91","1.173,60","1.141,50","1.135,91","1.182,74","1.162,60","1.143,73","1.170,36","1.180,50","1.149,22","1.179,19","1.385,54","1.210,97","1.305,61","1.267,57","1.297,00","1.164,16","1.433,82","1.262,36","1.337,60","1.363,05","1.334,58","1.428,67","1.375,05","1.306,11","1.237,26","1.105,95","1.365,00","1.437,79","1.366,76","1.417,64","1.324,49","1.335,46","1.339,65","1.373,35","1.305,76","1.380,01","1.335,88","1.250,65","1.334,64","1.501,94","1.296,11","1.480,95","1.378,79","1.126,21","1.373,61","1.389,80","1.355,51","1.357,47","1.316,65","1.432,11","1.420,22","1.522,82","1.491,41","1.676,02","1.773,58","1.534,25","1.445,38","1.375,22","1.610,39","1.513,29","2.086,10","2.249,07","1.872,91","2.687,35","2.346,30","2.198,41","1.811,65","1.759,66","1.686,59","1.609,43","1.732,90","2.357,86","2.423,22","1.886,63","1.948,21","1.779,71","1.757,97","2.007,41","2.107,79","1.618,76","1.887,32","2.030,87","1.840,60","1.717,56","1.756,66","1.487,97","1.783,39","1.672,56","1.765,70","1.846,24","1.686,85","1.697,11","1.596,41","1.657,88","1.972,87","1.950,40","1.492,85","1.768,28","1.673,82","1.863,73","1.811,69","2.092,70","2.212,62","2.317,88","1.709,48","1.871,38","2.200,06","1.856,45","1.980,95","1.843,31","1.785,68","1.802,87","2.067,62","2.027,67","2.507,61","2.295,72","2.490,31","2.444,34","1.412,85"
31027 Turmalina/Minas Novas/Capelinha,"444,97","444,15","427,74","437,37","454,03","439,59","440,43","440,2","442,25","452,63","445,33","465,7","443,79","458,14","462,77","457,91","463,32","471,55","467,72","467,34","433,98","438,77","436,73","442,73","446,66","438,34","433,18","461,08","458,6","456,93",467,"445,93","456,39","440,75","441,75","449,18","430,52","432,07","453,76","482,09","462,71","471,25","466,92","482,01","487,3","457,52","453,94","457,37","480,32","520,94","552,61","501,42","490,32","464,92","540,79","518,04","438,9","524,44","444,98","466,29","437,18","469,88","531,41","501,17","452,12","442,87","437,44","435,48","456,4","430,67","421,64","417,12","395,15","432,53","412,31","393,22","435,94","430,76","448,08","416,2","427,4","429,4","419,67","408,8","418,26","435,59","441,1","478,7","417,86","420,61","474,28","481,01","411,06","432,92","449,01","441,9","392,52","448,51","400,56","420,81","435,06","453,38","420,62","455,53","420,41","432,23","404,73","415,71","421,4","408,06","426,2","454,62","455,62","440,39","481,06","446,09","455,54","438,06","442,59","442,34","422,69","445,42","433,67","450,1","464,73","458,28","423,3","443,59","438,07","434,43","479,42","495,4","503,64","532,67","874,31","1.976,07","1.529,88","1.010,04","2.486,71","1.323,08","573,34","463,86","509,14","483,14","756,43","1.019,70","716,05","526,07","629,77","668,15","633,27","661,73","645,52","622,21","643,48","618,94","577,55","651,55","541,64","640,5","644,24","636,71","647,91","632,9","664,95","654,25","694,06","574,58","684,36","735,1","570,71","630,37","671,56","678,12","662,64",695,"618,27","654,98","655,53","696,46","545,17","622,89","609,16","627,84","664,84","632,8","817,97","703,18","716,49","658,24","798,62","770,94","542,15"
31028 Bom Despacho,"438,89","411,15","430,04","431,67","451,45","467,18","476,38","478,66","473,76","476,74","453,81","457,12","459,64","464,49","451,74","445,14","473,71","488,15","481,06","466,58","433,41","467,96","460,98","460,94","451,85","449,22","446,34","463,35","467,14","437,8","455,36","448,82",478,"466,92","443,03","430,44","442,42","427,62","446,36","448,47","482,65","505,51","494,37","478,19","502,41","525,15","492,45","470,55","457,05","491,55","614,71","615,91","664,53","701,69","559,23","539,45","540,7","545,42","656,64","572,62","596,94","560,32","586,52","586,17","596,14","611,31","484,34","486,85","474,71","473,35","505,67","458,15","443,97","481,59","467,25","501,88","473,07","507,85","496,09","519,73","484,53",485,"509,47","511,57","463,97","480,8","486,79","473,31","500,02","487,1","522,42","507,3","486,86","503,01","461,89","490,34","454,91","444,36","456,09","448,73","468,62","502,51","444,16","438,82","487,1","522,71","574,79","542,6","435,89","460,34","459,5","438,74","465,6","452,22","460,93",485,"463,64","457,04","475,14","497,64","471,8","442,58","466,29","448,16","464,01","463,62","523,95","485,27","527,9","473,59","482,12","485,03","527,47","514,19","608,62","1.782,30","2.341,04","2.834,41","2.456,70","2.619,55","2.058,19","1.250,09","1.591,08","711,59","751,04","1.026,65","595,15","556,5","555,23","700,39","755,83","709,55","813,99","800,13","707,41","793,17","700,1","750,71","704,03","749,69","771,9","820,76","778,74","801,12","656,33","758,02","785,66","842,6","541,96","825,08","710,99","599,5","744,91","710,16","727,16","719,29","861,53","852,42","1.228,28","1.014,22","812,66","814,25","752,02","824,96","755,23","797,86","852,2","801,16","817,1","831,11","765,83","884,59","655,65"
31030 Formiga,"755,94","691,74","733,59","742,85","694,85","719,61","753,18","705,93","677,25","685,32","669,05","691,41","708,31","682,40","699,84","670,83","698,68","762,36","728,51","742,8","695,26","734,59","699,67","704,82","712,21","764,14","740,27","771,75","844,15","747,08","771,03","792,92","789,16","743,19","732,67","801,33","749,67","750,83","794,23","833,01","923,52","858,73","960,38","929,85","968,15","994,78","941,2","1.087,28","929,37","838,18","875,01","992,61","1.173,05","1.235,27","1.304,48","1.301,34","1.207,31","1.176,75","1.373,01","1.208,49","1.135,17","1.254,25","1.248,31","1.136,02","1.031,50","1.076,87","1.224,05","1.205,58","1.075,09","1.181,97","1.114,10","1.178,70","1.164,48","1.291,58","1.150,56","1.020,82","1.002,36","1.228,45","1.265,83","1.295,72","1.206,03","1.187,61","1.141,12","1.194,89","1.122,70","1.242,11","1.235,41","967,36","1.112,16","1.017,45","1.119,69","1.059,11","1.037,44","1.083,24","1.065,30","1.007,68","1.016,52","903,04","992,69","794,89","795,27","998,63","826,58","1.005,12","902,28","933,37","1.027,87","924,24","1.043,73","977,23","1.248,28","1.314,42","1.258,88","1.119,49","1.145,72","1.228,67","1.255,23","1.294,52","1.374,91","1.091,25","1.173,42","1.210,45","1.376,41","1.303,03","1.401,68","1.173,01","1.468,28","1.463,96","1.265,13","1.390,11","1.284,76","1.389,92","1.437,46","2.110,23","1.941,34","3.062,72","2.034,32","2.350,05","1.920,31","2.123,47","2.480,95","2.134,35","2.037,21","2.283,82","2.031,47","2.499,08","1.950,50","1.850,58","2.144,34","1.953,30","1.863,37","2.057,14","1.906,30","1.923,78","1.966,66","2.015,42","2.144,01","2.036,07","1.916,32","1.850,89","1.960,86","2.110,24","2.149,22","2.184,14","2.188,39","2.360,87","2.400,98","2.531,14","2.202,07","2.273,47","2.278,68","2.567,56","2.573,56","2.583,38","3.053,66","2.628,18","2.687,68","2.476,71","2.468,35","2.783,87","2.613,31","2.761,49","2.657,63","2.559,43","2.660,90","2.555,66","2.714,59","2.645,35","2.482,19","2.770,06","2.521,10","2.815,67","1.448,80"
31031 Itaúna,"827,75","927,94","783,88","864,25","853,9","834,77","869,09","871,07","934,9","857,41","894,18","925,60","878,69","875,96","847,02","911,68","844,46","881,71","706,71","917,78","883,99","908,57","861,13","837,53","881,98","861,69","866,82","873,43","836,83","873,01","893,72","853,87","888,32","859,32","833,47","1.052,68","917,17","899,84","834,38","744,16","718,96","796,28","750,39","704,97","920,94","895,68","717,72","840,72","829,59","928,15","987,65","890,02","729,72","886,57","872,66","940,05","874,24","974,8","931,75","918,18","759,56","967,44","985,32","883,72","936,09","908,74","935,09","1.006,99","864,15","965,41","920,61","890,16","903,64","964,98","935,23","881,28","862,98","919,53","901,56","910,38","965,24","933,94","971,13","1.006,04","1.045,47","965,66","950,63","958,7","940,87","977,26","1.061,80","934,84","911,6","935,91","995,79","966,09","989,63","921,07","868,24","886,02","1.008,69","951,24","973,99","982,13","1.044,50","1.049,33","924,63","1.113,29","995,26","974,13","894,48","1.018,06","896,82","874,84","918,83","938,14","938,03","904,3","1.014,21",988,"984,59","1.017,51","953,06","1.184,92","1.074,72","1.212,97","1.103,31","1.137,43","1.045,64","2.521,60","1.864,46","1.289,83","1.235,31","1.439,30","1.381,23","1.324,70","2.008,48","2.986,47","2.636,60","3.547,82","4.071,17","2.008,65","1.941,45","1.968,10","1.329,51","2.159,56","1.683,07","2.137,89","1.485,28","1.528,22","1.575,86","1.451,91","1.445,08","1.322,37","1.281,26","1.755,32","1.527,64","1.639,17","1.496,14","1.465,13","1.470,55","1.311,92","1.308,46","1.298,49","1.351,50","1.543,23","1.496,63","1.510,91","1.354,52","1.230,70","1.399,48","1.273,43","1.569,09","1.689,49","1.730,17","1.908,39","1.375,49","1.383,48","1.571,09","1.943,12","1.471,11","1.379,46","1.520,91","1.691,72","1.421,87","1.538,51","1.497,63","1.631,38","1.555,36","1.381,57","1.659,17","1.693,84","1.200,25"
31032 Pará de Minas/Nova Serrana,"659,21","525,92","713,84","693,98","747,18","651,9","690,12","689,47","645,9","757,8","696,48","673,08","666,45","729,01","725,19","643,64","740,74","748,51","746,44","740,93","764,57","744,23","666,34","831,64","719,44","709,82","708,1","693,48","722,65","686,12","734,86","743,94","769,66","867,33","813,84","775,19","732,98","763,86","706,71","729,07","727,88","707,12","719,91","700,56","728,2","695,34","761,81","888,13","737,21","771,66",736,"747,21","781,04","730,67","822,12","733,99","776,02","727,56","816,32","720,34","695,55","698,03","778,4","738,37","702,92","787,02","761,61","752,5","763,3","735,15","746,29","777,58","782,68","769,44","754,91","641,72","825,81","677,43","712,5","698,69","752,45","764,72","765,73","791,63","801,19","777,52","731,44","789,45","758,84","839,21","844,24","851,69","819,53","872,88","886,82","753,99","843,97","758,22","798,53","737,65","768,19","758,18","758,16","834,97","791,86","728,61","734,92","789,48","819,52","807,33","771,53","690,13","841,8","758,33","735,29","779,25","737,47","778,99","782,61","681,73","779,26","740,4",937,"933,85","967,36","918,98","1.013,92","933,75","1.225,33","1.707,19","1.973,31","1.703,96","1.491,88","1.410,77","1.459,16","1.721,57","2.324,90","3.481,62","2.939,85","2.615,88","2.045,37","1.464,28","1.788,08","1.248,01","1.837,88","1.411,80","1.519,71","971,41","1.281,50","1.215,19","1.322,58","1.251,96","1.282,96","1.246,20","1.175,57","1.009,65","1.241,94","1.221,00","1.188,37","1.269,00","1.035,71","1.156,35","1.271,52","1.193,82","1.344,93","1.332,57","1.414,72","1.226,38","1.245,37","1.405,39","1.209,02","1.445,72","1.533,69","1.580,51","1.488,40","1.237,89","1.410,88","1.601,94","1.577,95","1.372,82","1.343,65","1.304,66","1.319,78","1.499,37","1.540,04","1.610,45","1.459,14","1.343,77","1.617,57","1.647,06","1.528,95","1.655,52","1.058,26"
31034 Caratinga,"679,85","739,27",761,"790,49","780,51","727,34","768,88","761,3","738,51","701,07","652,52","767,37","737,85","724,07","733,73","774,88","797,89","787,03","844,46","794,93","823,01","832,69","826,4","839,25","804,56","830,68","784,57","811,01","778,29","821,02","804,67","833,47","803,53","813,15","1.315,29","913,61","946,95","774,77","865,81","820,98","829,58","892,98","823,02","820,91","895,95","719,1","951,03","745,1","1.096,64","1.079,31","1.299,82","1.188,31","1.224,32","1.028,55","995,98","919,85","857,81","1.042,74","1.182,10","1.217,91","1.240,34","1.553,01","1.459,02","1.024,70","1.385,21","1.280,50","1.227,62","887,07","796,53","728,07","663,57","774,92","649,07","1.045,30","814,19","805,15","789,6","735,4","693,63","772,39","659,18","588,71","790,08","616,38","504,13","570,16","720,87","708,16","739,97","668,32","813,33","910,12","692,24","693,14","702,12","753,36","679,52","768,57","936,16","769,72","828,99","854,39","944,43","822,79","705,96","721,42","1.017,82","902,75","1.323,30","1.121,46","1.415,98","994,43","953,59","1.175,35","1.048,54","1.053,81","1.210,90","1.313,81","1.365,43","1.393,14","1.207,88","1.368,36","1.569,94","1.334,59","1.636,58","2.530,60","4.038,64","2.200,85","1.629,47","1.172,95","1.185,16","1.012,38","4.008,15","3.573,32","1.323,32","4.804,77","4.810,43","5.944,92","3.909,45","2.072,11","1.735,17","1.468,40","1.421,94","1.252,23","1.911,65","2.131,72","1.435,64","1.523,88","1.463,39","1.435,47","1.566,26","1.559,07","1.485,17","1.470,81","1.376,67","1.443,89","1.471,22","1.364,58","1.289,74","1.381,01","1.445,71","1.391,89","1.394,93","1.515,42","1.473,80","1.551,87","1.144,71","1.417,37","1.323,55","1.087,37","985,16","1.345,61","1.193,28","1.306,40","1.440,69","1.581,69","1.474,44","1.408,83","1.467,44","1.518,98","1.576,47","1.668,78","1.690,81","1.502,10","1.573,69","1.775,55","1.736,88","1.769,37","1.966,37","2.118,58","1.652,98","1.983,88","1.274,99"
31035 Coronel Fabriciano/Timóteo,"687,54","711,01","687,38","740,63","661,93","669,56","882,17","709,30","796,52","817,27","725,94","777,57","816,25","768,42","819,42","806,53","767,90","795,18","927,85","877,57","860,17","895,23","829,32","979,18","850,4","1.009,74","824,24","880,64","907,47","828,96","1.072,75","813,88","1.044,22","913,53","914,91","854,45","703,02","761,91","776,52","711,74","740,22","844,87","803,63","871,71","930,58","925,06","1.095,42","952,44","1.167,92","1.307,87","1.249,38","1.204,83","1.119,80","1.146,57","1.010,14","1.026,99","1.101,62","1.039,13","970,06","955,43","1.138,45","1.146,66","1.176,41","1.078,82","1.171,19","1.118,12","1.160,01","1.074,73","1.064,64","1.146,24","1.096,42","1.161,21","1.029,50","1.065,17","1.033,71","978,81","1.077,49","1.015,60","1.132,70","1.190,91","1.233,67","1.058,67","1.039,53","1.186,13","1.165,38","1.142,80","1.082,85","1.141,67","977,3","1.171,39","924,24","933,7","1.160,74","1.070,34","1.017,88","1.042,79","1.155,14","988,37","1.064,37","1.320,36","1.293,39","1.167,14","1.161,77","1.270,66","1.151,10","1.167,35","1.137,77","1.213,30","1.214,39","1.318,57","1.136,64","1.146,19","1.169,34","1.185,09","1.271,78","1.176,80","1.237,66","1.239,29","1.283,95","1.329,09","1.289,69","1.328,93","1.253,85","1.231,96","1.271,05","1.673,84","2.163,52","2.211,35","1.913,11","1.352,54","1.356,77","1.905,62","2.609,24","2.475,14","2.743,87","3.375,06","2.621,22","2.059,64","2.377,46","1.749,84","1.819,10","1.302,27","1.349,63","1.420,72","2.094,50","2.165,49","1.807,78","1.608,39","1.633,87","1.594,00","1.683,15","1.613,00","1.723,19","1.705,93","1.703,74","1.638,76","1.696,75","1.645,24","1.642,22","1.737,94","1.835,64","1.568,54","1.617,44","1.508,29","1.399,02","1.472,60","1.535,75","1.522,60","1.753,08","1.446,51","1.379,51","1.658,62","1.208,96","1.257,66","1.504,19","1.446,95","1.614,20","1.649,79","1.577,23","1.502,65","1.492,13","1.532,28","1.497,09","1.491,31","1.478,66","1.390,16","1.427,67","1.495,05","1.610,82","1.365,59","1.475,43","1.506,17","1.281,71"
31036 Governador Valadares,"1.120,26","961,21","1.118,40","946,98","1.136,28","1.074,22","1.138,08","1.045,18","1.310,33","1.143,56","1.296,25","1.291,63","1.263,07","1.153,24","1.080,41","1.109,46","1.232,07","1.213,38","1.132,43","1.093,60","1.367,77","1.428,22","1.125,61","1.231,44","1.431,23","1.382,07","1.281,77","1.169,30","1.373,33","1.293,05","1.417,06","1.463,05","1.387,30","1.425,94","1.421,75","1.409,22","1.400,96","1.422,35","1.400,60","1.421,99","1.458,08","1.504,71","1.535,95","1.502,68","1.453,81","1.596,65","1.447,73","1.512,18","1.436,01","1.551,42","1.431,36","1.572,92","1.483,83","1.526,00","1.779,27","1.544,02","1.705,72","1.615,15","1.531,30","1.647,79","1.571,92","1.567,30","1.656,35","1.592,66","1.655,91","1.720,42","1.858,17","1.705,56","1.129,07","1.273,66","1.541,27","1.546,88","1.519,05","1.379,52","1.494,20","1.542,02","1.325,99","1.627,21","1.521,59","1.686,84","1.473,49","1.721,26","1.647,61","1.965,31","1.586,34","1.462,78","1.608,99","1.738,17","1.519,20","1.754,53","1.483,37","1.665,72","1.812,10","1.804,88","1.815,59","1.746,98","1.670,60","1.836,39","1.481,49","1.596,87","1.720,38","1.696,11","1.725,06","1.610,20","1.965,05","1.662,93","1.898,18","1.524,47","1.541,21","1.730,03","1.761,92","1.620,05","1.477,85","1.454,39","1.652,10","1.726,18","1.885,54","1.932,88","1.922,37","1.927,11","1.904,82","1.857,69","2.066,36","1.894,42","1.663,20","2.253,13","2.523,84","3.071,02","2.748,61","2.970,96","2.759,57","3.973,62","2.221,52","2.532,83","3.244,47","3.791,62","2.964,89","3.128,92","3.253,58","3.216,14","3.220,50","2.734,97","3.092,97","3.015,56","2.376,94","2.515,06","2.889,84","2.425,60","2.644,41","2.530,38","2.273,82","2.570,79","2.667,87","2.492,45","2.590,68","3.098,12","2.049,23","2.667,89","2.782,05","2.615,37","2.470,78","2.681,61","2.699,09","2.821,59","3.110,66","3.558,15","2.811,15","2.954,73","3.074,34","2.780,75","2.980,12","2.795,43","2.599,82","2.885,05","2.865,63","2.842,26","2.960,03","2.732,30","2.685,27","2.386,89","2.193,36","2.591,27","2.527,49","2.472,75","2.562,25","2.426,08","2.781,89","3.088,73","3.261,93","3.143,15","3.107,79","3.114,65","1.993,60"
31037 Ipatinga,"995,73","1.056,95","1.165,37","1.035,60","1.072,52","1.134,70","1.130,86","1.153,53","1.055,92","1.204,93","1.159,88","1.124,87","1.136,98","1.279,67","1.152,96","1.096,79","1.240,19","1.083,87","1.261,28","1.315,18","1.197,96","1.174,77","1.352,90","1.364,93","1.187,33","1.193,62","1.276,88","1.240,01","1.228,47","1.153,22","1.251,88","1.245,11","1.295,95","1.278,03","1.369,37","1.304,71","1.286,95","1.498,02","1.328,03","1.383,20","1.472,84","1.397,60","1.509,73","1.420,41","1.398,21","1.302,08","1.210,27","1.356,16","1.347,13","1.369,98","1.483,09","1.527,62","1.360,47","1.595,81","1.434,30","1.619,05","1.678,64","1.591,54","1.687,20","1.479,62","1.504,19","1.535,48","1.427,62","1.501,84","1.360,20","1.642,62","1.626,60","1.697,10","1.644,15","1.648,36","1.724,32","1.617,33","1.560,14","1.509,60","1.557,98","1.592,66","1.579,93","1.596,23","1.673,12","1.681,15","1.802,04","1.801,20","1.668,10","1.736,32","1.741,78","1.783,03","1.752,17","1.811,24","1.664,17","1.665,07","1.984,33","2.000,87","1.883,62","1.965,34","1.791,64","1.891,36","1.641,24","1.827,44","1.734,88","1.539,66","1.836,08","1.674,97","1.704,96","1.738,54","1.724,34","1.690,57","1.754,47","1.644,35","1.696,90","1.758,41","1.555,87","1.733,41","1.634,32","1.696,01","1.825,40","1.872,73","2.014,28","1.802,46","1.946,13","1.850,18","2.057,76","1.958,43","2.039,86","1.942,88","1.962,97","1.974,81","2.323,76","2.789,03","2.698,58","2.680,58","2.556,48","3.188,77","2.977,15","2.754,32","2.707,79","3.187,20","2.782,98","3.093,26","3.064,87","2.887,39","2.258,95","2.192,63","2.283,79","2.197,59","2.256,19","2.741,21","2.115,90","2.170,32","2.070,52","2.150,15","2.144,45","2.135,96","2.055,65","2.096,27","2.017,35","2.104,36","2.037,40","2.194,87","2.117,71","2.015,67","1.838,11","2.154,23","2.146,91","2.164,19","2.096,55","2.285,73","2.307,44","2.254,89","2.276,77","2.246,16","2.416,62","2.504,97","2.650,09","2.714,64","2.338,41","2.827,83","2.780,11","2.941,10","2.741,44","2.331,48","2.269,52","2.679,38","2.590,88","2.725,39","2.961,16","3.092,36","3.164,61","3.276,27","3.100,84","3.167,43","3.220,84","3.325,89","1.871,74"
31038 Mantena,"465,15","463,85","473,81","484,9","482,4","498,07","497,99","495,11","507,39","487,32","476,11","465,90","479,91","471,67","467,1","477,89","491,1","498,07","462,48","471,51","490,45","491,96","474,24","497,72","468,8","492,13","484,81","488,23","486,17","467,57","482,83","473,04","482,96","490,07","459,77","475,86","457,91","448,85","435,87","473,77","471,19","484,26","496,26","467,33","469,73","476,14","469,89","469,01","478,46","485,51","489,61","505,43","507,64","483,83","468,43","483,99","472,83","469,63","465,99","458,99","457,87","460,1","462,56","476,11","455,22","471,82","462,06","449,75","450,91","445,37","440,97","465,32","455,94","439,47","433,05","462,46","455,89","460,71","488,85","456,74","450,5","443,95","456,47","470,33","484,32","440,37","438,94","448,34","455,5","472,95","472,76","468,58","474,45","465,75","459,85","456,22","443,89","438,17","457,43","459,38","486,47","487,05","493,04","472,1","465,83","449,06","481,51","471,37","453,83","472,12","471,19","496,58","501,06","481,52","489,81","502,27","478,26","491,17","490,05","516,98","499,01","474,36","469,33","468,51","547,41","551,45","502,69","584,06","498,57","469,26","574,25","814,13","649,78","587,11","833,29","767,26","1.278,92","1.019,25","829,16","1.905,22","1.155,39","808,79","1.066,26","906,6","702,36","1.222,70","485,35","466,58","498,77","530,31","661,43","596,22","489,08","509,06","552,84","547,4","498,21","490,49","634,67","584,23","557,18","546,74","585,89","569,32","535,49","528,69","504,07","532,67","531,51","440,8","522,4","480,41","529,98","548,76","542,3","495,23","504,63","514,98","743,97","786,16","522,23","700,45","750,68","843,21","895,15","1.106,16","1.042,42","1.216,94","2.044,02","1.349,90","1.521,64","877,73","572,04"
31040 Resplendor,"449,26","427,29","444,77","483,05","497,03","449,54","463,53","460,42","446,68","458,82","443,39","449,33","457,82","450,52","452,32","450,07","451,02","471,54","479,75","470,72","444,02","422,6","445,03","421,56","424,32","427,05","420,21","415,98","416,32","402,26","441,8","463,57","443,97","438,58","459,65","422,59","425,76","399,5","432,39","423,07","433,33","420,72","446,54","444,9","457,43","441,05","472,94","441,71","466,86","461,88","460,26","504,82","498,15","480,64","427,96","423,88","446,46","443,18","472,33","496,25","436,87","408,17","427,73","429,98","430,54","446,72","456,69","429,43","408,82","417,32","388,13","390,69","356,49","374,81","381,43","407,86","425,97","408,95","411,98","425,74","391,57","397,93","396,19","391,45","367,87","370,37","402,75","437,66","448,12","422,79","438,26","434,55","442,89","447,77","430,62","416,21","408,15","408,16","431,8","422,87","429,59","445,18","443,06","442,31","457,14","456,8","500,37","493,54","442,97","445,4","418,62","443,05","464,16","433,77","466,44","451,63","424,68","448,2","454,47","466,43","405,35","417,42","426,44","427,38","445,72","492,81","493,9","534,51","538,59","505,9","523,1","647,91","635,26","510,06","591,42","814,39","665,01","745,31","666,68","564,83","487,77","463,7","492,54","489,92","577,51","621,87","492,35","433,92","460,71","455,03","473,49","439,59","432,26","449,66","440,29","467,27","463,9","459,57","461,5","497,67","481,83","501,17","497,2","471,32","471,44","451,6","465,16","480,77","458,89","447,98","428,16","438,16","474,53","467,53","486,39","462,12","451,68","483,22","520,01","503,41","426,16","475,72","425,47","487,11","520,49","524,04","485,89","494,22","523,05","478,47","546,38","490,33","457,28"
